molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit
476.48,0.84,145.66,2,10,476.4780000000003,0.8426999999999999,145.66000000000003,2.0,10.0,6.0
943.13,-0.04,294.98,11,18,943.1340000000005,-0.04099999999999354,294.97999999999996,11.0,18.0,14.0
343.51,3.58,32.7,1,3,343.511,3.5783000000000027,32.7,1.0,3.0,0.0
1395.95,19.25,153.12,1,12,1395.9539999999984,19.25013999999999,153.12,1.0,12.0,3.0
304.39,3.65,52.6,0,4,304.386,3.6518000000000024,52.6,0.0,4.0,7.0
344.41,3.64,68.15,2,5,344.4070000000001,3.6388000000000025,68.15,2.0,5.0,8.0
917.05,-1.7,296.37,11,19,917.0520000000002,-1.6985999999999866,296.36999999999995,11.0,19.0,9.0
292.33,2.13,68.9,1,5,292.33099999999996,2.1300000000000003,68.9,1.0,5.0,5.0
474.65,5.4,56.92,1,5,474.64500000000044,5.4025400000000054,56.92,1.0,5.0,6.0
325.41,1.91,47.24,0,4,325.4120000000001,1.9125400000000001,47.24,0.0,2.0,2.0
438.01,7.01,30.49,1,3,438.01100000000014,7.008600000000007,30.49,1.0,3.0,10.0
240.31,-0.81,126.64,4,6,240.306,-0.8083999999999993,126.64,4.0,6.0,7.0
1516.15,25.46,236.95,3,15,1516.1459999999995,25.458900000000035,236.94999999999993,3.0,15.0,83.0
281.29,2.22,98.85,2,5,281.289,2.2248,98.85000000000001,2.0,5.0,11.0
354.45,1.64,50.6,0,5,354.45400000000006,1.6408999999999991,50.6,0.0,4.0,5.0
528.73,5.02,93.06,2,6,528.7300000000004,5.015200000000006,93.06000000000002,2.0,6.0,4.0
498.75,7.8,63.6,1,3,498.74800000000045,7.804400000000009,63.60000000000001,1.0,3.0,2.0
316.44,4.63,38.83,0,3,316.441,4.6326000000000045,38.83,0.0,3.0,0.0
735.01,7.22,140.98,3,9,735.0120000000003,7.21720000000001,140.98,3.0,9.0,12.0
264.37,4.68,17.07,0,1,264.368,4.681900000000004,17.07,0.0,1.0,7.0
440.33,5.96,42.68,0,4,440.3260000000003,5.956020000000005,42.68,0.0,4.0,3.0
501.69,3.17,133.83,4,6,501.69000000000034,3.1709000000000023,133.82999999999998,4.0,6.0,12.0
523.22,5.4,37.38,0,2,523.2240000000002,5.404820000000004,37.38,0.0,2.0,1.0
269.3,-0.79,102.18,5,6,269.297,-0.7931800000000009,102.18,5.0,6.0,3.0
1323.79,8.34,299.28,9,20,1323.7909999999997,8.341700000000014,299.28,9.0,20.0,15.0
578.53,2.02,196.35,6,12,578.5260000000004,2.0198000000000005,196.34999999999997,6.0,12.0,7.0
319.45,2.61,42.07,0,4,319.4450000000001,2.6092000000000004,42.07,0.0,4.0,2.0
348.44,3.84,91.67,2,3,348.4390000000001,3.8400000000000025,91.66999999999999,2.0,3.0,5.0
522.5,-0.13,192.44,6,11,522.5030000000003,-0.12519999999999948,192.44,6.0,11.0,7.0
412.53,3.35,62.99,0,5,412.5300000000002,3.351600000000002,62.99,0.0,5.0,3.0
460.61,4.13,93.06,2,6,460.6110000000002,4.1296000000000035,93.06,2.0,6.0,1.0
268.35,2.73,47.92,1,4,268.353,2.7314000000000007,47.92,1.0,4.0,3.0
297.35,1.71,60.77,2,3,297.35400000000004,1.7052999999999998,60.77000000000001,2.0,3.0,3.0
410.46,2.13,108.5,0,8,410.46300000000025,2.1303,108.5,0.0,8.0,4.0
481.54,2.59,120.83,1,8,481.5420000000003,2.5934,120.83000000000003,1.0,8.0,5.0
821.37,16.53,78.9,0,6,821.3659999999996,16.530399999999965,78.9,0.0,6.0,46.0
447.49,6.61,51.91,0,5,447.4900000000002,6.608800000000005,51.91,0.0,5.0,4.0
307.4,3.24,57.78,2,2,307.397,3.2445000000000013,57.78,2.0,2.0,7.0
469.55,4.58,107.61,4,3,469.5450000000002,4.575500000000003,107.60999999999999,4.0,3.0,7.0
1003.72,21.6,78.9,0,6,1003.7169999999986,21.601700000000008,78.9,0.0,6.0,59.0
424.72,7.04,38.38,1,2,424.7170000000003,7.035800000000008,38.379999999999995,1.0,2.0,4.0
365.43,2.94,76.24,2,4,365.43300000000016,2.9361000000000015,76.24,2.0,4.0,5.0
488.71,4.89,97.99,4,4,488.7090000000003,4.887000000000005,97.99,4.0,4.0,5.0
178.23,2.65,37.3,1,1,178.231,2.6549000000000014,37.3,1.0,1.0,4.0
395.35,-5.03,240.42,10,9,395.3540000000001,-5.028159999999996,240.41999999999996,10.0,9.0,3.0
1008.18,10.45,265.49,5,16,1008.1780000000003,10.449299999999992,265.48999999999995,5.0,15.0,43.0
522.65,1.87,100.21,2,6,522.6460000000005,1.8652200000000003,100.21000000000001,2.0,6.0,7.0
416.48,3.84,67.87,1,4,416.47700000000015,3.836700000000003,67.87,1.0,4.0,6.0
667.8,3.9,145.74,1,11,667.7960000000004,3.898900000000003,145.73999999999998,1.0,11.0,8.0
969.13,2.21,272.73,6,19,969.1280000000002,2.210000000000006,272.72999999999996,6.0,19.0,12.0
1108.56,13.91,108.69,3,8,1108.5579999999998,13.907899999999975,108.69000000000001,3.0,8.0,6.0
446.97,2.1,108.75,3,7,446.96800000000025,2.104799999999999,108.75000000000001,3.0,7.0,9.0
566.69,2.01,162.98,5,9,566.6880000000003,2.012799999999999,162.98,5.0,9.0,7.0
306.36,2.52,69.67,0,5,306.35800000000006,2.519000000000001,69.67000000000002,0.0,5.0,5.0
459.51,0.92,122.61,2,5,459.50600000000026,0.9198799999999998,122.60999999999999,2.0,5.0,4.0
960.32,10.12,192.12,7,11,960.3159999999999,10.123799999999994,192.11999999999998,7.0,11.0,9.0
254.25,2.81,79.38,2,5,254.245,2.8148000000000013,79.38000000000001,2.0,5.0,2.0
538.64,4.91,136.68,5,8,538.6370000000004,4.906700000000006,136.68,5.0,8.0,14.0
290.32,3.52,68.15,2,5,290.31500000000005,3.524140000000002,68.15,2.0,5.0,4.0
353.51,4.13,38.33,1,3,353.50600000000003,4.132900000000003,38.33,1.0,3.0,5.0
461.57,2.98,80.91,2,4,461.5660000000003,2.983100000000001,80.91,2.0,4.0,5.0
302.46,5.05,26.3,0,2,302.458,5.048600000000005,26.3,0.0,2.0,3.0
1064.95,-3.04,433.8,15,27,1064.949000000001,-3.0411999999999977,433.80000000000007,15.0,27.0,14.0
1029.23,-0.45,363.7,11,12,1029.2279999999996,-0.44943000000000777,363.7,11.0,12.0,16.0
526.76,7.07,69.67,0,5,526.7580000000004,7.0718000000000085,69.67000000000002,0.0,5.0,2.0
821.37,16.67,78.9,0,6,821.3659999999994,16.674499999999966,78.9,0.0,6.0,47.0
450.4,-0.31,186.37,7,11,450.39600000000013,-0.31140000000000034,186.37,7.0,11.0,4.0
1031.77,22.53,78.9,0,6,1031.7709999999984,22.526000000000014,78.9,0.0,6.0,62.0
361.39,2.49,105.84,2,5,361.39400000000006,2.4921999999999995,105.83999999999999,2.0,5.0,8.0
969.89,-12.92,479.47,20,29,969.8900000000006,-12.916100000000025,479.47000000000014,20.0,29.0,15.0
440.71,7.35,37.3,1,2,440.7120000000003,7.347900000000009,37.3,1.0,2.0,0.0
339.48,4.18,21.7,0,3,339.47900000000016,4.183200000000004,21.700000000000003,0.0,3.0,1.0
469.62,5.07,79.98,1,5,469.62200000000047,5.065040000000005,79.97999999999999,1.0,5.0,8.0
905.53,18.73,78.9,0,6,905.5279999999991,18.726899999999983,78.9,0.0,6.0,51.0
736.95,4.83,146.12,1,8,736.951,4.834100000000005,146.12,1.0,8.0,9.0
631.72,0.4,153.45,3,12,631.7190000000002,0.4021000000000024,153.45,3.0,12.0,8.0
